rental	Album	eccojam
4.50 stars	Dean Blunt - Soul on Fire	3.50 stars
3.00 stars	Tim Hecker - Konoyo	4.00 stars
3.50 stars	Viagra Boys - Street Worms	3.00 stars
3.50 stars	Kero Kero Bonito - Time 'n' Place	3.00 stars
3.50 stars	Eli Keszler - Stadium	4.00 stars
3.50 stars	Daughters - You Won't Get What You Want	4.00 stars
3.50 stars	Julia Holter - Aviary	4.00 stars
3.50 stars	Felicia Atkinson / Jefre Cantu-Ledesma - Limpid as the Solitudes	3.50 stars
3.00 stars	Sharon Van Etten - Remind Me Tomorrow	3.00 stars
3.50 stars	Deerhunter - Why Hasn't Everything Already Disappeared?	3.00 stars
3.50 stars	Malibu Ken - Malibu Ken	3.00 stars
3.50 stars	Celer - Xièxie	4.00 stars
3.50 stars	Black to Comm - Seven Horses for Seven Kings	3.50 stars
3.50 stars	Jessica Pratt - Quiet Signs	3.00 stars
3.50 stars	Xiu Xiu - Girl With Basket of Fruit	3.50 stars
3.50 stars	Spellling - Mazy Fly	3.00 stars
4.00 stars	Little Simz - Grey Area	3.50 stars
3.00 stars	Maja S. K. Ratkje - Sult	3.00 stars
4.00 stars	Stella Donnelly - Beware of the Dogs	3.00 stars
3.50 stars	The Caretaker - Everywhere at the End of Time - Stage 6	3.50 stars
3.50 stars	Uranium Club - The Cosmo Cleaners	3.50 stars
3.50 stars	Próchno - Próchno	3.50 stars
3.50 stars	Fennesz - Agora	3.50 stars
4.50 stars	DJ Armok / DJ Bishop / Pillbox - Dungeon Rap: The Introduction	3.50 stars
4.00 stars	Weyes Blood - Titanic Rising	3.50 stars
3.50 stars	Lizzo - Cuz I Love You	3.50 stars
3.50 stars	Kelsey Lu - Blood	3.50 stars
4.00 stars	Rico Nasty & Kenny Beats - Anger Management	3.00 stars
2.50 stars	Otoboke Beaver - Itekoma Hits	3.50 stars
4.00 stars	Aldous Harding - Designer	3.00 stars
3.00 stars	Vampire Weekend - Father of the Bride	3.50 stars
