rental	Album	JoeCooper
3.50 stars	Radiohead - A Moon Shaped Pool	3.50 stars
3.50 stars	PUP - The Dream Is Over	3.00 stars
3.50 stars	Huerco S. - For Those of You Who Have Never (And Also Those Who Have)	4.50 stars
5.00 stars	Mitski - Puberty 2	4.50 stars
3.50 stars	The Avalanches - Wildflower	4.00 stars
3.50 stars	Snail Mail - Habit	3.00 stars
3.50 stars	DJ Earl - Open Your Eyes	3.00 stars
5.00 stars	Frank Ocean - Blonde	5.00 stars
3.00 stars	Ausmuteants - Band of the Future	3.00 stars
3.50 stars	Young Thug - JEFFERY	4.50 stars
4.00 stars	Angel Olsen - MY WOMAN	3.50 stars
3.50 stars	Kraus - End Tomorrow	3.50 stars
4.00 stars	Danny Brown - Atrocity Exhibition	4.00 stars
3.50 stars	Powell - Sport	4.00 stars
